246	75
215	88
262	113
278	110
236	97
231	105
253	116
265	102
265	94
262	92
260	81
263	89
254	106
254	117
197	114
214	104
252	88
295	96
306	130
251	141
235	133
238	130
413	87
446	112
495	112
511	98
449	84
473	94
485	108
439	128
422	117
452	108
493	91
509	87
464	138
462	126
477	106
474	88
441	84
434	107
440	107
444	72
481	73
483	83
375	213
338	218
362	242
405	242
393	227
347	222
345	229
334	253
384	257
388	243
384	235
369	256
361	274
417	281
425	276
400	259
406	256
417	238
413	223
387	210
334	204
319	224
312	251
321	282
337	288
520	176
556	200
593	200
596	183
570	183
548	187
535	192
537	224
560	240
586	223
574	220
562	221
578	261
557	277
532	263
530	258
582	247
601	241
594	245
534	226
514	223
515	247
518	253
506	209
513	202
520	203
634	66
608	67
634	89
667	79
669	81
630	88
612	88
643	113
667	117
681	125
669	146
654	155
617	128
611	111
651	117
652	142
638	154
643	136
638	124
636	105
680	96
680	99
658	90
660	101
938	345
882	342
887	355
911	360
916	355
916	326
929	322
859	314
853	329
864	351
897	340
893	333
882	326
862	338
850	362
887	375
908	368
928	364
935	358
903	357
888	357
904	325
911	314
