311	150
320	171
358	165
353	147
305	157
303	165
357	165
326	148
342	148
347	189
373	182
401	166
373	160
344	165
328	179
305	201
309	211
370	204
400	192
436	186
455	189
456	190
513	215
541	203
500	156
471	196
645	177
659	203
621	216
570	206
555	171
586	156
638	177
581	195
596	199
621	234
669	236
671	217
609	198
604	179
633	161
673	163
710	180
668	200
610	224
594	245
605	252
613	250
561	257
545	295
551	305
465	317
463	334
528	353
557	338
491	324
485	340
515	351
543	310
524	308
522	319
522	331
507	321
488	302
464	322
453	349
488	374
517	385
590	358
540	366
510	342
433	299
422	253
455	250
400	224
352	240
551	130
461	119
491	126
613	95
545	87
490	66
528	47
579	53
528	59
490	75
528	96
599	92
614	88
502	78
499	100
559	111
592	116
570	88
562	63
513	73
503	80
508	47
558	57
535	72
527	79
582	72
609	68
610	68
